index,simulated,observed
441,119.1666667,
442,74.12,
443,87.96551724,
444,84.70967742,
445,70.88,
446,117.4166667,
447,81.14285714,
448,81.33333333,
449,81.78571429,
450,89.4516129,
451,179.4102564,
452,126.3333333,
453,85.68965517,
454,132.7058824,
455,73.46428571,
456,147.4848485,
457,96.68571429,
458,72.76666667,
459,199.7714286,
460,60.38095238,
461,86.90322581,
462,88.66666667,
463,99.9375,
464,79.74193548,
465,155.3870968,
466,120.4848485,
467,93.25,
468,273.027027,
469,99.46666667,
470,122.1612903,
471,94.15151515,
472,80.87878788,
473,51.59090909,
474,135.137931,
475,87.65625,
476,64.125,
477,117.5555556,
478,95.66666667,
479,92.51851852,
480,83.03448276,
481,140.0909091,
482,74.25,
483,57.875,
484,148.4193548,
485,78.35483871,
486,134.4375,
487,98.53333333,
488,70.59259259,
489,75.3,
490,72.58333333,
491,81.76666667,
492,75.66666667,
493,67.48148148,
494,66.21428571,
495,167.4736842,
496,85.53333333,
497,80.83333333,
498,127.125,
499,106.6451613,
500,91.03703704,
501,56.65517241,
502,78.08333333,
503,63.43333333,
504,61.61538462,
505,176.9428571,
506,145.5,
507,83.51612903,
508,63,
509,147.9333333,
510,183.1875,
511,120.1176471,
512,121.4,
513,99.74074074,
514,123.9166667,
515,100.3714286,
516,110.0277778,
517,87.78125,
518,72.17857143,
519,78.66666667,
520,154.40625,
521,56.52173913,
522,164.6285714,
523,85,
524,119.7631579,
525,104.1935484,
526,76,
527,92.51515152,
528,188.8571429,
529,130.0555556,
530,102.7916667,
531,130.1818182,
532,74.75757576,
533,126.0571429,
534,86.07407407,
535,121.483871,
536,68.42857143,
537,67.76,
538,62.74074074,
539,99.83870968,
540,185.6666667,
541,103.1176471,
542,95.96875,
543,78.14285714,
544,72.11538462,
545,107.5357143,
546,79.36,
547,76.48148148,
548,163.6153846,
549,102.5769231,
550,97.33333333,
551,70.95238095,
552,82.51515152,
553,67.95833333,
554,76.57692308,
555,90.28,
556,112.2727273,
557,67.89285714,
558,121.8181818,
559,141.25,
560,82.03030303,
561,103.6538462,
562,68.8,
563,83.8125,
564,100.5294118,
565,172.2121212,
566,96.5862069,
567,80.20689655,
568,129.9259259,
569,88.38709677,
570,89.19354839,
571,77.07407407,
572,96.07407407,
573,81.80769231,
574,97.42424242,
575,90.34482759,
576,65,
577,57.60714286,
578,96.86666667,
579,100.9354839,
580,126.1428571,
581,86.10344828,
582,136.3939394,
583,82.24137931,
584,72.24137931,
585,71.79310345,
586,119.9411765,
587,116.3513514,
588,88.2,
589,160.5555556,
590,83.3,
591,100.5357143,
592,96.61764706,
593,98.34375,
594,80.35714286,
595,197.2702703,
596,62.81481481,
597,93.4516129,
598,97.57142857,
599,76.88,
600,301.1578947,
601,128.1428571,
602,66.92307692,
603,80.67857143,
604,155.6129032,
605,124.3823529,
606,136.0645161,
607,61.60869565,
608,198.1176471,
609,76.46428571,
610,71.25,
611,121.7666667,
612,108.7096774,
613,89.11764706,
614,82.18518519,
615,152.3333333,
616,90.5,
617,113.2058824,
618,56,
619,86.4516129,
620,100.1153846,
621,75.48,
622,255.9705882,
623,61.43478261,
624,99.51851852,
625,76,
626,94.19354839,
627,75.89285714,
628,162.8235294,
629,95.3125,
630,80,
631,104.4814815,
632,235.3783784,
633,91.62962963,
634,80.07142857,
635,323.8717949,
636,185.92,
637,194.1142857,
638,83.125,
639,62.56521739,
640,61.16,
641,111.9411765,
642,104.21875,
643,96.03703704,
644,82.5862069,
645,78.80769231,
646,96.29032258,
647,58.25,
648,72.76923077,
649,80.21428571,
650,81.5,
651,82.38461538,
652,70.77777778,
653,116.3,
654,120.3076923,
655,120.037037,
656,71.875,
657,71.64285714,
658,81.51724138,
659,112.6333333,
660,147.0857143,
661,59.09090909,
662,71.11538462,
663,95.05714286,
664,92.73333333,
665,86.3030303,
666,121.96875,
667,74.96551724,
668,120.8148148,
669,125.1714286,
670,98,
671,94.87878788,
672,95.32258065,
673,79.46153846,
674,55.13043478,
675,89.4375,
676,65.44,
