,tandem,fcfs
199,44.1875,238
200,44.28571429,165
201,47.11764706,480
202,89.98245614,291
203,84.77333333,351
204,86.81818182,235
205,45.97916667,183
206,53.51470588,352
207,52.23611111,275
208,91.53225806,309
209,100.875,457
210,47.21428571,286
211,55.14,162
212,47.375,605
213,53.16216216,318
214,45.23636364,109
215,51.45283019,517
216,90.7704918,177
217,50.90163934,455
218,95.26666667,529
219,96.84482759,382
220,48.75,484
221,91.02985075,132
222,47.8,168
223,91.05882353,425
224,49.26984127,355
225,49.58666667,278
226,48.47457627,525
227,89.18032787,318
228,90.58823529,447
229,89.41666667,441
230,85,594
231,86.01492537,398
232,87.43283582,254
233,44.79365079,353
234,96.70769231,180
235,90.15625,190
236,43.90566038,482
237,48.61818182,427
238,47.43137255,220
239,53.26470588,561
240,94.81034483,111
241,48.20689655,397
242,47.65625,471
243,47.203125,566
244,47.2295082,99
245,51.06944444,209
246,55.88135593,118
247,90.14084507,536
248,46.31746032,553
249,98.01886792,460
250,50.9,230
251,46.50746269,243
252,49.39393939,283
253,52.50847458,301
254,51.57746479,130
255,46.06521739,515
256,44.07142857,353
257,49.83116883,246
258,92.49180328,174
259,89.77966102,121
260,48.49180328,207
261,50.4057971,97
262,48.96226415,291
263,103.4655172,298
264,52.22222222,544
265,53.77272727,184
266,130.1612903,427
267,47.52542373,196
268,48.18644068,129
269,116.3392857,308
270,97.92307692,255
271,97.32075472,509
272,48.734375,437
273,51.2295082,141
274,51.84931507,345
275,44.20895522,146
276,90.40909091,412
277,53.67213115,
278,47.84848485,
279,95.05357143,
280,49.27692308,
281,45.34482759,
282,49.88059701,
283,49.68055556,
284,46.82692308,
285,91.39655172,
286,94.18032787,
287,47.98529412,
288,92.125,
289,82.11940299,
290,88.06666667,
291,89.73770492,
292,50.93939394,
293,93.84615385,
294,100.0681818,
295,47.03278689,
296,91.69354839,
297,90.29850746,
298,46.31343284,
299,44.578125,
300,57.41333333,
